Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
315,2009-01-19,25.635963439941406,25.848912990886976,24.587590267256314,25.357488899361567,2587926
316,2009-01-20,28.502609252929688,29.157841496321932,24.571215792576222,25.66872846718482,19101726
317,2009-01-21,26.602418899536133,29.125063258551062,26.242040499166098,29.125063258551062,11311625
318,2009-01-22,27.86375617980957,28.24051380291764,26.27481721949011,27.454236058262172,10535551
319,2009-01-23,28.25689125061035,28.600888550788437,26.995568557220242,28.322414016885094,7005930
320,2009-01-27,29.174213409423828,29.567352185275503,27.192136063177422,28.174984113700766,8487928
321,2009-01-28,29.829450607299805,29.97687739604376,28.830221138586147,29.780309084981386,6636133
322,2009-01-29,29.632877349853516,30.435538433704117,28.518983690884273,30.435538433704117,13844487
323,2009-01-30,28.91213607788086,29.141466971639197,28.174999633935787,29.125087939205375,4578388
324,2009-02-02,27.388708114624023,29.157836182441084,26.995569284594215,28.830220120451475,6678800
325,2009-02-03,27.830989837646484,28.50260318858582,25.09539491480591,25.09539491480591,6591337
326,2009-02-04,28.259416580200195,29.528207305316588,27.056536568154307,28.836139230717954,7225484
327,2009-02-05,28.094635009765625,28.836135463561607,27.814511722132163,28.012246070454964,3622655
328,2009-02-06,28.473634719848633,28.81966658939079,28.177033101027686,28.325332792966286,2228530
329,2009-02-09,28.490100860595703,29.59411351766405,27.748600422698658,29.59411351766405,3190528
330,2009-02-10,28.440664291381836,29.050343235280053,27.913374273148644,28.9020413811289,3258153
331,2009-02-11,28.506576538085938,28.67135439839378,27.51790937623885,28.341798677778087,1899711
332,2009-02-12,29.890716552734375,30.2202723442988,28.17702688358802,28.490104438585572,8517373
333,2009-02-13,30.912342071533203,31.225419643454217,30.319141167663016,30.483919072352325,9331167
334,2009-02-16,29.478775024414062,31.43963398577417,29.05035423666686,31.43963398577417,3238379
335,2009-02-17,28.177030563354492,29.44582142055199,28.028730884772024,29.44582142055199,2684742
336,2009-02-18,28.951494216918945,29.29752836850667,27.369625406049384,28.17703693645804,4576718
337,2009-02-19,29.05034637451172,29.660023149350035,28.621923467768944,29.000911672805117,5072418
338,2009-02-20,28.440664291381836,28.9020413811289,28.09463035660022,28.67135283625537,3336292
